,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
24,710454935,Motorola G7 POWER compare Google pixel3 xl,140,New (never used),This Motorola G7 power is an awesome phone I compare it to the Google pixel 3 XL it comes with the unlimited data plan from MetroPCS of $65 it is active,1,Local pickup (44 miles away),No shipping INFO!,44.0,,,"Temecula, CA",Temecula, CA,4 months 
25,790668908,White sim unlocked Google pixel 3 XL 64gb,400,Used (normal wear),Excellent condition factory unlocked for att tmobile metro pcs simple straight talk mint lyca ultra net10 cricket h20 aio or for international use so bring your sim card to try it before you buy itSpecs like a galaxy s10 for the price of a s9 plus ,3,No delivery INFO!,"Ships from San Jose, CA for $3.29",,"San Jose, CA",3.29,"San Jose, CA",San Jose, CA,8 hours 
26,787163174,Google pixel 3 xl,350,Open box (never used),Vendo mi pixel Nada malo con el solo que compre otro Tengo la caja accesorios nuevos,4,Local pickup (26 miles away),No shipping INFO!,26.0,,,"Oceanside, CA",Oceanside, CA,1 week 
27,786096817,Google pixel 3 64GB mint unlocked,280,Used (normal wear),"Google pixel 3 with 64GB of storage space factory unlocked for any carrier. Has been tested and works perfectly. Clean esn and ready for activation. Comes with box, might be missing a charger. Mint condition phone, I offer 30 day warranty. You can test it out before purchasing. ",5,Local pickup (11 miles away),Ships for $7.49,11.0,,7.49,"San Diego, CA",San Diego, CA,1 week 
28,786037116,"Google Pixel 3, Unlocked",500,Used (normal wear),No description. Ask seller for more details,1,Local pickup (15 miles away),No shipping INFO!,15.0,,,"Poway, CA",Poway, CA,1 week 
29,773166289,GOOGLE PIXEL 3 XL - BRAND NEW NEVER USED,500,New (never used),Brand new pixel 3XL. Never used. No damage no scratches. 128 GBLow ballers will be ignoredI DO NOT ACCEPT PAYPAY.ONLY OFFER UP PAYMENTS FOR SHIPPING ,3,Local pickup (24 miles away),Ships for $10.99,24.0,,10.99,"San Diego, CA",San Diego, CA,1 month 
30,759630554,Google Pixel 3 - 64GB - Just Black (Unlocked) - New Open Box,399,New (never used),I have google pixel 64gb $400 and 128 gb $430All brand new ready to use with your sim card or but it for your perfect one as a Christmas giftCash only pls Our store ours 10:30 am to 7pm Mj wireless 642 jamacha rd El Cajon Close on Sunday ,4,Local pickup (21 miles away),No shipping INFO!,21.0,,,"El Cajon, CA",El Cajon, CA,1 month 
31,755248310,Like New without Box Razer 2 Gaming Smartphone with case & glass screen Protector,400,Used (normal wear),"Like New without Box Razer 2 Gaming Smartphone with case & glass screen Protector.  Comes with charging Block, Type C to Type C charging cable.8GB RAM64GB ROMGoogle Pixel 3 Camera Software Loaded120Hz fresh Rate4K Screen Wireless ChargingQ.C. 4.0. Dual Front Facing Dolby Speakers.Plus comes with Spigen CaseAnd Glass Screen Protector.Retail was 799.99400.00",3,Local pickup (13 miles away),Ships for $3.29,13.0,,3.29,"San Diego, CA",San Diego, CA,2 months 
32,750781518,Google Pixel 3,300,Used (normal wear),"Like new Google Pixel 3.Phone is 2 weeks old, has 1 minor scratch.Comes with 2 cases, pink, and blue.$300",5,Local pickup (6 miles away),No shipping INFO!,6.0,,,"San Diego, CA",San Diego, CA,2 months 
33,719164417,Motorola G7 power 32GB AT&T Verizon T-Mobile Cricket boost Metro,155,New (never used),This is a Motorola G7 power brand new in the box 32GB this phone was ranked number two of best economical smartphones behind the Google pixel 3 XL it's basically the same phone just economically a better body is unlocked for any carrier just pop your sim card and go comes with charger cable information in box,5,Local pickup (14 miles away),No shipping INFO!,14.0,,,"Poway, CA",Poway, CA,4 months 
34,674688090,Google pixel 3 unlock,300,Used (normal wear),In great condition unlocked for any carrier ,2,Local pickup (22 miles away),No shipping INFO!,22.0,,,"El Cajon, CA",El Cajon, CA,6 months 
36,790275173,Apple Watch 3 with extra charger and bands,250,Used (normal wear),Selling apple watch 3 with extra charger and bands. Switched to google pixel phone so I do not need it any longer. Has some scuff marks on the surface. Otherwise good condition.,4,No delivery INFO!,"Ships from Melrose Park, IL for $7.49",,"Melrose Park, IL",7.49,"Melrose Park, IL",Melrose Park, IL,1 day 
37,789179002,"Google Pixel 3 64GB Black Unlocked with Case, New Screen Protector, and original equipment",325,Used (normal wear),"Hello,I have finally made the switch to the dark side(Apple) so I am looking to sell my Google Pixel 3 64GB Unlocked. This phone comes with the original box that has the original fast-charger, a case, a current screen protector AND an additional BRAND NEW screen protector, headphones, etc. There are no issues with it whatsoever, I just got tired of getting yelled at for ruining all of the group chats.The price is $350 which is lower than all of the other posts, and this includes all original equipment. NO LOWBALLS PLEASE. Thank you.",4,No delivery INFO!,"Ships from Concord, CA for $3.29",,"Concord, CA",3.29,"Concord, CA",Concord, CA,3 days 
38,786678924,BRAND NEW Google Edition Pixel 3 128GB Clearly White • Unlocked,500,New (never used),"This is a brand new Pixel 3 128GB. It has never been used or activated and still in original box with plastic on it. It is the Google Edition and was purchased directly from Google. This is not the same as the versions that are sold by the carriers. This device is completely unlocked and compatible with any carrier that you may want to use it with. Just pop in your sim card and it's good to go. Shipping is available for buyers who are not local. Payment is accepted via cash, debit/credit, PayPal, Venmo, CashApp, Western Union, MoneyGram, GPay, Facebook Pay, Chime, and Bitcoin. Let me know if you have any questions.",2,No delivery INFO!,"Ships from Wiggins, MS for $3.29",,"Wiggins, MS",3.29,"Wiggins, MS",Wiggins, MS,1 week 
39,781513754,UNLOCKED google pixel 3 xl,435,Open box (never used),Used less then a month - UNLOCKED- 64gb- comes with screen protector and case charger and box - 100 free Brandy Melville Stickers- everything is perfect ((feel free to message me)),3,No delivery INFO!,"Ships from San Jose, CA for $7.49",,"San Jose, CA",7.49,"San Jose, CA",San Jose, CA,2 weeks 
40,778584196,Google pixel 3 XL 128gb New,480,Used (normal wear),Its open box product128 GBUnlocked ,2,No delivery INFO!,"Ships from Des Plaines, IL for $7.49",,"Des Plaines, IL",7.49,"Des Plaines, IL",Des Plaines, IL,3 weeks 
41,777775621,LG G8 Unlocked trade for Pixel XL 3,350,New (never used),Looking to trade/sell my basically brand new G8 factory unlocked for Google Pixel XL 3 or 4.Phone is paid off full and I'm the original owner. Thanks. ,1,No delivery INFO!,"Ships from Chandler, AZ for $7.49",,"Chandler, AZ",7.49,"Chandler, AZ",Chandler, AZ,3 weeks 
42,774855689,Google pixel 3 xl,400,Used (normal wear),Not pink. 64 gb. Year old. No scratches or damage,1,No delivery INFO!,"Ships from Odenton, MD for $7.49",,"Odenton, MD",7.49,"Odenton, MD",Odenton, MD,4 weeks 
43,769092234,Google Pixel 3,350,Used (normal wear),- Google Pixel 3 64GB unlocked- Black- Perfect condition- Like new- No scratches,2,No delivery INFO!,"Ships from Miramar, FL for $3.29",,"Miramar, FL",3.29,"Miramar, FL",Miramar, FL,1 month 
44,766019906,Google Pixel 3 XL,450,Used (normal wear),64GB black Google Pixel 3 XL. Works great. I'm just upgrading to a Pixel 4. Takes awesome photos! No cracks in screen. Comes with slim protective case. ,1,No delivery INFO!,"Ships from Gilbert, AZ for $7.49",,"Gilbert, AZ",7.49,"Gilbert, AZ",Gilbert, AZ,1 month 
45,761349982,Google Pixel 3 + accessories,400,Used (normal wear),"This is a prime condition Google Pixel 3, I’m only selling it because I switched back to Apple when my wife and I got on a phone plan together with a buy one get one deal, so I really don’t have a use for this third line. The phone has been in the case since day one, which is included. Also comes with the pixel stand which is $80 retail. Included items:- Google Pixel 3- Charger and cable- Pixel Headphones- Pixel Stand/second charger- headphone dongle - USB/USB-c adapter- Phone case",5,No delivery INFO!,"Ships from Chandler, AZ for $3.29",,"Chandler, AZ",3.29,"Chandler, AZ",Chandler, AZ,1 month 
47,751531158,Google Pixel 3 128gb Just Black,400,New (never used),"This unlocked Google Pixel 3 with 128gb of memory is setting the standard in smartphone camera technology with artificial intelligence and the clarity that no other phone has been able to match. The latest release of Android 10 operating system powers this phone's environment. The phone comes in the box with original earbuds, USB-C super fast charger, USB-C dongle, and new Pixel 3 in beautiful Just Black color. Works on Google Fi, T-Mobile, Sprint, Verizon, AT&T, and all MVNOs (Boost, Republic Wireless, Metro, Cricket, etc.). Has both dual SIM with e-SIM and physical SIM card. ",8,No delivery INFO!,"Ships from Flossmoor, IL for $7.49",,"Flossmoor, IL",7.49,"Flossmoor, IL",Flossmoor, IL,2 months 
48,742589001,Google pixel 3 xl 128gb,450,Open box (never used),"Sell Phone Store Seattle, WABest place for used electronics!Condition:A✅ Tested and fully functional✅ iCloud removed✅ Carrier unlocked✅ CLEAN IMEI GUARANTEED✅ LIFETIME IMEI WARRANTY✅ Trusted SellerPrice may vary depending on condition and carrier.",2,No delivery INFO!,"Ships from Seattle, WA for $7.49",,"Seattle, WA",7.49,"Seattle, WA",Seattle, WA,2 months 
49,741591863,Google pixel 3 xl,450,Open box (never used),"Sell Phone Store Seattle, WABest place for used electronics!Condition: A✅ Tested and fully functional✅ iCloud / Google FRP clear✅ Carrier unlocked✅ CLEAN IMEI GUARANTEED✅ LIFETIME IMEI WARRANTY✅ Trusted SellerPrice may vary depending on condition and carrier.🎉 WE SHIP THRU OFFERUP 🎉Please let us know if you have any questions.",2,No delivery INFO!,"Ships from Seattle, WA for $7.49",,"Seattle, WA",7.49,"Seattle, WA",Seattle, WA,3 months 
50,719041099,Moment case and wide angle lens,120,New (never used),"I have cases for Google Pixel 2, Pixel 2 XL, Pixel 3, Pixel 3 XLCan sell lens separately for 110. Lens works with any phone ",3,Local pickup (91 miles away),Ships for $3.29,91.0,,3.29,"Whittier, CA",Whittier, CA,4 months 
51,705765773,iPhone X unlocked or will trade for google pixel 3,500,Used (normal wear),Been in case Since I bought it  ,2,No delivery INFO!,"Ships from Cincinnati, OH for $3.29",,"Cincinnati, OH",3.29,"Cincinnati, OH",Cincinnati, OH,5 months 
52,664261630,Google Pixel 3 XL (Factory Unlocked) 64gb,500,Used (normal wear),"Selling my pixel 3 xl 64gb, comes factory unlocked so you can use with any carrier you like. Is in perfect good condition it has no cracks or dents it has always had a screen protector since I got it and a case, adult owned comes with original box and all accessories. Free feel to contact me if you have any questions thank you.",4,Local pickup (90 miles away),Ships for $7.49,90.0,,7.49,"City of Industry, CA",City of Industry, CA,7 months 
53,628851566,Samsung Galaxy S9± for trade,500,Used (normal wear),I have a T-Mobile Samsung Galaxy S9+ that I'm trying to trade for a Google Pixel 3. It comes with a battery charging phone cover. The condition is 9.5/10. there nothing wrong with the phone at all. I just want a Google Pixel 3. Contact me and we can work something out. Thank you in advance.,3,No delivery INFO!,"Ships from Elk Grove, CA for $3.29",,"Elk Grove, CA",3.29,"Elk Grove, CA",Elk Grove, CA,9 months 
54,617141919,Google Pixel 3 XL Verizon,400,Reconditioned/Certified,Its In Perfect Condition ! Trade For a Iphone Plus . Or 400 ,3,No delivery INFO!,"Ships from Glendale, AZ for $3.29",,"Glendale, AZ",3.29,"Glendale, AZ",Glendale, AZ,10 months 
55,496340021,Google Pixel screens,100,New (never used),Authentic OEM GOOGLE PIXEL SCREENS only 3 left. Installation extra ,1,No delivery INFO!,"Ships from Jonesboro, GA for $3.29",,"Jonesboro, GA",3.29,"Jonesboro, GA",Jonesboro, GA,1 year 
56,790632237,Google Pixel 3 64GB unlocked,300,New (never used),Brand New but there is a small dent (photo attached) ,3,No delivery INFO!,"Ships from Saint Paul, MN for $7.49",,"Saint Paul, MN",7.49,"Saint Paul, MN",Saint Paul, MN,9 hours 
57,789951332,Google Pixel 3 (Not pink color),320,Used (normal wear),"64 GB Google Pixel 3 not pink color, perfect condition, no scratches, with original box",2,No delivery INFO!,"Ships from Aloma, FL for $7.49",,"Aloma, FL",7.49,"Aloma, FL",Aloma, FL,1 day 
59,783524712,Google pixel 3,350,Used (normal wear),Used for a a few months and decided to switch to iPhone. Crack in corner. Works fine though. Message me for questions ! ,3,No delivery INFO!,"Ships from Lampasas, TX for $7.49",,"Lampasas, TX",7.49,"Lampasas, TX",Lampasas, TX,1 week 
60,781030187,Google Pixel 3 (64GB),300,Reconditioned/Certified,"LIKE NEW CONDITION; comes with brand new screen protector already on it with 3 official Google fabric cases. Also comes with all the fixings, charger, headphones, etc.",3,No delivery INFO!,"Ships from Las Vegas, NV for $3.29",,"Las Vegas, NV",3.29,"Las Vegas, NV",Las Vegas, NV,2 weeks 
